seed,width,num_facts,prototype_acc,knn1_acc,mean_radius,mean_nearest_other,separation_ratio,mean_margin,median_margin,p5_margin,min_margin,runtime_sec
42,32,5,0.8,0.8,6.141169929504395,9.14011287689209,1.488334139411507,2.9989429473876954,3.475895404815674,-0.12762565612792964,-0.8056850433349609,0.02160048484802246
101,32,5,1.0,1.0,6.404501247406006,9.276155281066895,1.4483805855046372,2.8716540336608887,3.3814210891723633,1.0082462310791016,0.9125633239746094,0.011626005172729492
202,32,5,1.0,1.0,6.963493061065674,10.270573616027832,1.4749169003561673,3.307080554962158,2.7250828742980957,1.7570898056030273,1.72808837890625,0.0
42,64,5,1.0,1.0,12.730971717834473,19.578879165649415,1.537893539017368,6.847907447814942,7.268460273742676,3.270328330993652,2.4468154907226562,0.016857147216796875
101,64,5,1.0,1.0,12.653813362121582,18.83167953491211,1.4882216910517563,6.1778661727905275,7.897649765014648,2.794473075866699,2.7869882583618164,0.007512092590332031
202,64,5,1.0,1.0,12.033110237121582,19.35681858062744,1.6086297044654558,7.323708343505859,9.913116455078125,2.385639762878418,2.3297977447509766,0.006010293960571289
42,128,5,1.0,1.0,25.619871139526367,37.66598052978516,1.4701861812635029,12.046109390258788,12.591903686523438,5.646595001220703,4.460866928100586,0.0028960704803466797
101,128,5,1.0,1.0,25.105070877075196,37.709083557128906,1.5020504712672456,12.60401268005371,12.88127326965332,6.010322570800781,5.4449615478515625,0.0
202,128,5,1.0,1.0,25.629471588134766,37.82645683288574,1.4758968669349637,12.196985244750977,13.912725448608398,4.149114608764648,3.7244720458984375,0.01673269271850586
42,256,5,1.0,1.0,49.31985626220703,73.51689758300782,1.490614595007172,24.197041320800782,26.253700256347656,10.928807830810547,9.922771453857422,0.0
101,256,5,1.0,1.0,48.94799652099609,73.01931076049804,1.4917732274140965,24.07131423950195,23.643943786621094,11.443130493164062,9.993209838867188,0.01969170570373535
202,256,5,1.0,1.0,51.338626098632815,76.45380096435547,1.489206212931737,25.115174865722658,30.53164291381836,7.285967254638672,7.264583587646484,0.007555246353149414
42,32,10,0.6,0.6,6.851531934738159,8.070598888397218,1.1779261854854632,1.2190669536590577,1.1670787334442139,-0.7963050365447998,-0.8056850433349609,0.016213417053222656
101,32,10,1.0,1.0,6.843654012680053,8.432361078262328,1.2321430993322071,1.5887070655822755,0.881810188293457,0.3144459009170532,0.23256492614746094,0.005198478698730469
202,32,10,0.8,0.8,6.888440561294556,8.521987867355346,1.2371432661941069,1.633547306060791,0.800511360168457,-0.7179691314697265,-1.193404197692871,0.023981571197509766
42,64,10,0.8,0.8,14.033730411529541,16.904389667510987,1.2045542531996685,2.8706592559814452,2.629845142364502,-1.550792646408081,-2.482694625854492,0.013869762420654297
101,64,10,1.0,1.0,13.410791015625,17.087110996246338,1.274131478418888,3.676319980621338,2.582900047302246,1.8283221244812011,1.8194875717163086,0.017433643341064453
202,64,10,1.0,1.0,12.417372703552246,16.740637969970702,1.3481626392433297,4.323265266418457,2.9287867546081543,1.5865994453430177,1.378666877746582,0.010433435440063477
42,128,10,0.9,0.9,27.91141700744629,34.60427055358887,1.2397890989181648,6.692853546142578,5.342267990112305,-0.45954265594482413,-1.9841651916503906,0.01638507843017578
101,128,10,1.0,1.0,26.57839298248291,33.81008377075195,1.272089090574978,7.231690788269043,6.053297996520996,3.3057207107543944,2.4509963989257812,0.019025087356567383
202,128,10,1.0,1.0,26.08900966644287,34.520264625549316,1.3231726713152883,8.431254959106445,7.103374481201172,4.004691219329834,3.7244720458984375,0.01426076889038086
42,256,10,0.9,0.9,53.68036575317383,67.20873832702637,1.2520171457761073,13.52837257385254,11.489559173583984,1.7531967163085938,-0.9362564086914062,0.01664590835571289
101,256,10,1.0,1.0,51.977041244506836,66.54325637817382,1.2802432530228713,14.566215133666992,11.553478240966797,6.087421417236328,4.557575225830078,0.0020089149475097656
202,256,10,1.0,1.0,53.061366653442384,68.74821701049805,1.295636002867288,15.686850357055665,14.19664192199707,6.581930160522461,6.023395538330078,0.031235456466674805
42,32,20,0.6,0.6,6.795729303359986,7.623373627662659,1.1217888877174045,0.8276443243026733,1.1670787334442139,-0.9663709163665771,-1.3476181030273438,0.040712833404541016
101,32,20,0.8,0.8,6.7051136016845705,7.5274085521698,1.1226369884400271,0.8222949504852295,0.6054654121398926,-1.4120090961456297,-2.1704564094543457,0.025803804397583008
202,32,20,0.7,0.7,6.61508162021637,7.450695991516113,1.1263195842486393,0.8356143712997437,0.518704891204834,-0.855391788482666,-1.193404197692871,0.01703619956970215
42,64,20,0.8,0.8,14.064443397521973,16.0477765083313,1.1410175321796663,1.9833331108093262,1.7887248992919922,-0.6119499683380125,-2.482694625854492,0.03518843650817871
101,64,20,0.95,0.95,13.173830509185791,15.738781404495239,1.1947004617657684,2.5649508953094484,1.8929901123046875,0.1851396083831788,-1.1190710067749023,0.031061172485351562
